,address,latitude,longitude,price,beds,bath,square,build,year,style
165,"3624 Grassick AVENUE, Regina, Saskatchewan, S4S 0Y9",50.43027375,-104.63408674800857,314900,4,1,1008,Residential,1953,Freehold
166,"19 Weekes CRESCENT, Regina, Saskatchewan, S4R 6X6",50.49561285,-104.60349304322942,268000,3,3,1564,Residential,1975,Freehold
167,"4141 Montague STREET, Regina, Saskatchewan, S4S 3L3",50.4359605,-104.6301156,449000,4,3,1687,Residential,1964,Freehold
168,"5133 MCKINLEY AVENUE, Regina, Saskatchewan, S4T 7L2",50.4685948,-104.6551435003255,249900,4,2,846,Residential,1975,Freehold
169,"1857 Regent STREET, Regina, Saskatchewan, S4N 1S5",50.449169749999996,-104.56455778663982,269900,6,2,968,Residential,1987,Freehold
170,"279 Halifax STREET, Regina, Saskatchewan, S4R 1S9",50.474085849999994,-104.60315683452382,174900,3,1,760,Residential,1952,Freehold
171,"5106 WASCANA VISTA PLACE, Regina, Saskatchewan, S4V 2S3",50.419741,-104.53224946597899,675000,3,4,2392,Residential,1992,Freehold
172,"601 College AVENUE E, Regina, Saskatchewan, S4N 0W3",50.44186345,-104.5736803474456,249900,5,2,1130,Residential,1957,Freehold
173,"4802 Sandpiper CRESCENT E, Regina, Saskatchewan, S4V 1M8",50.4138286,-104.51640120217337,658000,5,3,1554,Residential,2009,Freehold
174,"2410 Garnet STREET, Regina, Saskatchewan, S4T 3A4",50.44060425,-104.6271032820652,719500,4,4,1772,Residential,2000,Freehold
175,"342 Rose STREET N, Regina, Saskatchewan, S4R 2Y4",50.481538400000005,-104.6082588,221900,2,1,816,Residential,1961,Freehold
176,"1138 Princess STREET, Regina, Saskatchewan, S4T 3Y5",50.46064225,-104.63582015654762,149900,3,2,920,Residential,1916,Freehold
177,"1865 Regent STREET, Regina, Saskatchewan, S4N 1S5",50.44899655,-104.5645575496768,269900,6,2,968,Residential,1987,Freehold
178,"3912 Nottingham CRESCENT E, Regina, Saskatchewan, S4V 3A5",50.4334207,-104.52664046995218,424900,4,3,1281,Residential,2001,Freehold
179,"774 Athol STREET, Regina, Saskatchewan, S4T 3B3",50.46631815,-104.62859070278529,69900,2,1,560,Residential,1924,Freehold
180,"2464 Wallace STREET, Regina, Saskatchewan, S4N 4B3",50.4395716,-104.59402254685713,254800,2,2,888,Residential,1928,Freehold
181,"2915 Victoria AVENUE, Regina, Saskatchewan, S4T 1K8",50.4469301,-104.623230598971,579900,6,4,3087,Residential,1911,Freehold
182,"1861 Regent STREET, Regina, Saskatchewan, S4N 1S5",50.44909265,-104.56455826360195,269900,6,2,968,Residential,1987,Freehold
183,"4413 Dewdney AVENUE, Regina, Saskatchewan, S4T 1B3",50.45490915,-104.64428859598448,274900,4,3,1117,Residential,1949,Freehold
184,"935 Bercovich CRESCENT, Regina, Saskatchewan, S4N 7J8",50.4634686,-104.53171690216801,349500,4,3,1044,Residential,1988,Freehold
185,"3057 Retallack STREET, Regina, Saskatchewan, S4S 1T3",50.430491950000004,-104.62215490367007,299000,3,2,1176,Residential,1928,Freehold
186,"4533 James Hill ROAD, Regina, Saskatchewan, S4W 0K8",50.4045734,-104.6599751,319900,4,4,1176,Residential,2013,Freehold
187,"2727 Argyle STREET, Regina, Saskatchewan, S4S 0K7",50.435941400000004,-104.63224402953969,447000,2,2,1158,Residential,1954,Freehold
188,"14 UNIVERSITY PARK DRIVE, Regina, Saskatchewan, S4V 0C9",50.4267052,-104.56292291388888,414900,6,3,1150,Residential,1975,Freehold
189,"1931 Connaught STREET, Regina, Saskatchewan, S4T 4T6",50.4568125,-104.6467345,409900,4,2,1720,Residential,2016,Freehold
190,"609 GARNET STREET, Regina, Saskatchewan, S4T 2W9",50.4693166,-104.62654635178177,64900,2,1,712,Residential,1956,Freehold
192,"1113 Elliott STREET, Regina, Saskatchewan, S4N 3E9",50.4617498,-104.5865334,364900,3,2,1214,Residential,2022,Freehold
193,"7311 Blakeney DRIVE, Regina, Saskatchewan, S4X 2N6",50.4924422,-104.68400935851265,319900,4,2,1007,Residential,1979,Freehold
194,"1372 Retallack STREET, Regina, Saskatchewan, S4T 2H9",50.45690125,-104.62284851058047,124900,4,2,988,Residential,1952,Freehold
195,"1433 Robinson STREET, Regina, Saskatchewan, S4T 2N7",50.45607375,-104.6236450505277,59900,2,1,672,Residential,1924,Freehold
196,"23 Stewart AVENUE, Regina, Saskatchewan, S4R 4M5",50.48026415,-104.64973501784523,314500,3,2,995,Residential,1962,Freehold
197,"134 College AVENUE, Regina, Saskatchewan, S4N 0W5",50.4408745,-104.6122544,289900,3,1,929,Residential,2018,Freehold
198,"1837 Regent STREET, Regina, Saskatchewan, S4N 1S5",50.4495548,-104.56455599446126,269900,6,2,968,Residential,1987,Freehold
199,"229 Broad STREET N, Regina, Saskatchewan, S4R 1X1",50.4796874,-104.60599559296267,324900,3,3,1380,Residential,1973,Freehold
200,"1845 Regent STREET, Regina, Saskatchewan, S4N 1S5",50.4493992,-104.56455686831822,269900,6,2,968,Residential,1987,Freehold
201,"5561 Cederholm AVENUE, Regina, Saskatchewan, S4W 0M9",50.4131216,-104.6610514,324900,2,4,1222,Residential,2015,Freehold
202,"918 Devonshire DRIVE N, Regina, Saskatchewan, S4X 2L8",50.49257455,-104.67198703232079,384900,3,2,1500,Residential,1979,Freehold
203,"2679 Crocus DRIVE E, Regina, Saskatchewan, S4V 1T3",50.43955495,-104.54458883236924,560000,4,4,1940,Residential,1986,Freehold
204,"116 Connaught CRESCENT, Regina, Saskatchewan, S4T 6M9",50.43973995,-104.6233390390264,609900,3,2,1666,Residential,1929,Freehold
205,"115 Bothwell CRESCENT, Regina, Saskatchewan, S4R 5Y7",50.49183505,-104.59692229387255,315900,3,2,1282,Residential,1974,Freehold
206,"1865 Ottawa STREET, Regina, Saskatchewan, S4S 5G5",50.449231299999994,-104.60033044394764,209900,3,1,850,Residential,1907,Freehold
207,"240 WELLS STREET, Regina, Saskatchewan, S4R 6T1",50.4918294,-104.64724276981423,309900,4,3,1176,Residential,1975,Freehold
208,"965 Dutkowski CRESCENT, Regina, Saskatchewan, S4N 6X8",50.46280955,-104.53711656841591,320000,3,2,965,Residential,1986,Freehold
